Date,Mkt-RF,SMB,HML,RMW,CMA
2012-05,-6.19,-0.12,-1.06,2.08,2.32
2012-06,3.89,0.84,0.62,-1.09,0.46
2012-07,0.79,-2.8,-0.02,1.1,0.09
2012-08,2.55,0.45,1.3,-1.33,-0.86
2012-09,2.73,0.61,1.6,-1.49,1.54
2012-10,-1.76,-0.9,3.59,-1.34,2.51
2012-11,0.78,0.47,-0.84,0.6,0.84
2012-12,1.18,1.91,3.51,-1.85,0.88
2013-01,5.57,0.47,0.96,-1.93,1.42
2013-02,1.29,-0.25,0.11,-0.67,0.54
2013-03,4.03,0.86,-0.19,0.14,1.37
2013-04,1.55,-2.25,0.45,0.27,0.37
2013-05,2.8,2.09,2.63,-1.97,-0.91
2013-06,-1.2,1.56,0.03,-0.38,0.01
2013-07,5.65,1.8,0.57,-1.35,0.52
2013-08,-2.71,-0.06,-2.69,0.66,-2.16
2013-09,3.77,2.66,-1.22,-0.58,-1.4
2013-10,4.18,-1.51,1.25,2.78,0.92
2013-11,3.13,1.4,0.32,0.14,0.05
2013-12,2.81,-0.44,-0.02,-0.46,0.08
2014-01,-3.32,0.58,-2.07,-3.88,-1.43
2014-02,4.65,0.16,-0.31,-0.23,-0.47
2014-03,0.43,-1.13,4.93,2.13,1.98
2014-04,-0.19,-4.14,1.17,3.48,1.04
2014-05,2.06,-1.89,-0.13,0.05,-1.01
2014-06,2.61,3.1,-0.7,-1.89,-1.98
2014-07,-2.04,-4.29,0.03,0.88,0.51
2014-08,4.24,0.31,-0.45,-0.63,-0.69
2014-09,-1.97,-3.73,-1.34,1.31,-0.49
2014-10,2.52,3.72,-1.81,-0.55,-0.09
2014-11,2.55,-2.28,-3.09,1.5,0.26
2014-12,-0.06,2.86,2.27,-1.22,0.96
2015-01,-3.11,-0.91,-3.58,1.6,-1.66
2015-02,6.13,0.31,-1.86,-1.1,-1.79
2015-03,-1.12,3.07,-0.37,0.09,-0.51
2015-04,0.59,-3.06,1.82,0.02,-0.65
2015-05,1.36,0.82,-1.14,-1.78,-0.72
2015-06,-1.53,2.89,-0.79,0.45,-1.57
2015-07,1.54,-4.58,-4.13,0.31,-2.46
2015-08,-6.04,0.24,2.77,0.69,1.24
2015-09,-3.07,-2.8,0.56,1.8,-0.6
2015-10,7.75,-2.05,-0.46,0.86,0.55
2015-11,0.56,3.29,-0.42,-2.71,-1.03
2015-12,-2.17,-2.97,-2.61,0.45,0.03
2016-01,-5.77,-3.48,2.09,2.8,3.07
2016-02,-0.07,0.85,-0.57,3.28,1.99
2016-03,6.96,1.08,1.19,0.76,-0.04
2016-04,0.91,1.22,3.28,-2.92,1.86
2016-05,1.78,-0.62,-1.66,-1.07,-2.49
2016-06,-0.05,0.44,-1.48,1.39,1.91
2016-07,3.95,2.49,-1.27,1.25,-1.19
2016-08,0.49,1.7,3.13,-1.88,-0.34
2016-09,0.25,1.86,-1.23,-2.23,0.03
2016-10,-2.02,-4.04,4.12,0.96,0.28
2016-11,4.86,7.04,8.19,-0.21,3.69
2016-12,1.81,0.39,3.56,1.23,-0.22
2017-01,1.94,-1.43,-2.76,-0.5,-0.99
2017-02,3.57,-2.21,-1.68,0.45,-1.83
2017-03,0.17,0.74,-3.32,0.62,-0.94
2017-04,1.09,0.47,-2.1,1.91,-1.6
2017-05,1.06,-3.03,-3.78,0.95,-1.81
2017-06,0.78,2.57,1.48,-2.25,0.01
2017-07,1.87,-1.66,-0.24,-0.69,-0.11
2017-08,0.16,-1.83,-2.09,0.15,-2.37
2017-09,2.51,4.77,3.12,-1.46,1.67
2017-10,2.25,-1.93,0.21,0.92,-3.24
2017-11,3.12,-0.36,-0.08,3.19,-0.08
2017-12,1.06,-1.07,0.05,0.75,1.67
2018-01,5.57,-3.2,-1.33,-0.73,-1.01
2018-02,-3.65,0.31,-1.07,0.54,-2.39
2018-03,-2.35,3.58,-0.23,-0.45,0.0
2018-04,0.28,0.93,0.54,-2.43,1.27
2018-05,2.65,4.74,-3.18,-2.05,-1.47
2018-06,0.48,0.81,-2.33,0.78,0.24
2018-07,3.19,-1.93,0.47,1.56,0.35
2018-08,3.44,0.63,-3.98,-0.3,-2.66
2018-09,0.06,-2.49,-1.69,0.64,1.3
2018-10,-7.68,-4.46,3.44,0.94,3.6
2018-11,1.69,-0.77,0.28,-0.56,0.36
2018-12,-9.57,-2.87,-1.85,-0.03,0.22
2019-01,8.4,3.02,-0.46,-0.78,-1.51
2019-02,3.4,1.74,-2.67,0.12,-1.6
2019-03,1.1,-3.5,-4.1,0.9,-0.96
2019-04,3.97,-1.17,2.14,1.62,-2.2
2019-05,-6.94,-1.58,-2.35,-0.47,1.76
2019-06,6.93,0.36,-0.72,0.91,-0.43
2019-07,1.19,-1.78,0.47,-0.07,0.37
2019-08,-2.58,-3.23,-4.77,0.55,-0.69
2019-09,1.43,0.27,6.74,1.84,3.36
2019-10,2.06,0.27,-1.92,0.44,-0.96
2019-11,3.87,0.45,-2.0,-1.6,-1.25
2019-12,2.77,0.97,1.77,0.0,1.23
2020-01,-0.11,-4.38,-6.23,-1.17,-2.32
2020-02,-8.13,0.04,-3.79,-1.47,-2.51
2020-03,-13.39,-8.3,-13.95,-1.52,1.26
2020-04,13.65,2.58,-1.26,2.71,-1.01
2020-05,5.58,1.97,-4.89,0.96,-3.25
2020-06,2.46,1.97,-2.17,0.09,0.53
2020-07,5.77,-3.2,-1.37,0.4,0.96
2020-08,7.63,-0.89,-2.96,4.26,-1.2
2020-09,-3.63,0.01,-2.68,-1.39,-1.89
2020-10,-2.1,4.64,4.22,-0.75,-0.76
2020-11,12.47,7.12,2.13,-2.2,1.37
2020-12,4.63,4.79,-1.5,-1.99,-0.11
2021-01,-0.03,6.92,2.97,-3.81,4.9
2021-02,2.78,4.53,7.17,0.31,-1.94
2021-03,3.08,-0.86,7.39,6.47,3.41
2021-04,4.93,-3.15,-0.95,2.49,-2.69
2021-05,0.29,1.23,7.09,2.53,3.01
2021-06,2.75,-0.34,-7.83,-2.18,-0.95
2021-07,1.27,-4.63,-1.78,5.5,-0.52
2021-08,2.91,-0.68,-0.15,-0.3,-1.79
2021-09,-4.37,1.13,5.09,-1.9,2.11
2021-10,6.65,-2.7,-0.49,1.69,-1.45
2021-11,-1.55,-1.77,-0.45,7.22,1.72
2021-12,3.1,-0.77,3.26,4.92,4.4
2022-01,-6.25,-4.04,12.75,0.87,7.74
2022-02,-2.29,2.94,3.08,-2.08,3.12
2022-03,3.05,-2.16,-1.8,-1.56,3.14
2022-04,-9.46,-0.41,6.17,3.63,5.89
2022-05,-0.34,-0.05,8.39,1.44,3.97
2022-06,-8.43,1.31,-5.98,1.86,-4.7
2022-07,9.57,1.86,-4.1,0.68,-6.92
